2025-12-19 08:49:08 | DEBUG    | log:152 | [index] Serving web UI
2025-12-19 08:49:08 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-19 08:49:08 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-19 08:49:08 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-19 08:49:08 | INFO     | log:150 | [list_documents] Found 1 documents
2025-12-19 08:49:11 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-19 08:49:11 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-19 08:49:11 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-19 08:49:11 | INFO     | log:150 | [list_documents] Found 1 documents
2025-12-19 08:49:28 | INFO     | log:150 | [upload_documents] Uploading 1 files
2025-12-19 08:49:28 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-19 08:49:28 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-19 08:49:28 | DEBUG    | log:152 | [build_search_text] Built search_text (926 chars)
2025-12-19 08:49:28 | DEBUG    | log:152 | [insert_document_with_examples] Inserting doc_id=1, search_text length=926
2025-12-19 08:49:28 | INFO     | log:150 | [insert_document_with_examples] Starting doc_table.insert() for doc_id=1...
2025-12-19 08:49:36 | INFO     | log:150 | [insert_document_with_examples] doc_table.insert() completed in 8.26s for doc_id=1
2025-12-19 08:49:36 | DEBUG    | log:152 | [parse_examples_to_list] Parsed 20 examples
2025-12-19 08:49:36 | DEBUG    | log:152 | [insert_document_with_examples] Inserted 20 examples for doc_id=1
2025-12-19 08:49:36 | INFO     | log:150 | [upload_documents] Inserted 1 docs with 20 examples
2025-12-19 08:49:36 | DEBUG    | log:152 | [invalidate_embeddings_cache] Embeddings cache invalidated
2025-12-19 08:49:36 | DEBUG    | log:152 | [reset_all_caches] All caches invalidated
2025-12-19 08:49:36 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-19 08:49:36 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-19 08:49:36 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-19 08:49:36 | INFO     | log:150 | [list_documents] Found 2 documents
2025-12-19 08:49:56 | DEBUG    | log:152 | [index] Serving web UI
2025-12-19 08:49:56 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-19 08:49:56 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-19 08:49:56 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-19 08:49:56 | INFO     | log:150 | [list_documents] Found 2 documents
