2025-12-17 17:13:37 | DEBUG    | log:152 | [index] Serving web UI
2025-12-17 17:13:37 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-17 17:13:37 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-17 17:13:37 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-17 17:13:37 | INFO     | log:150 | [list_documents] Found 1 documents
2025-12-17 17:13:48 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-17 17:13:48 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-17 17:13:48 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-17 17:13:48 | INFO     | log:150 | [list_documents] Found 1 documents
2025-12-17 17:21:20 | DEBUG    | log:152 | [index] Serving web UI
2025-12-17 17:21:21 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-17 17:21:21 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-17 17:21:21 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-17 17:21:21 | INFO     | log:150 | [list_documents] Found 1 documents
2025-12-17 17:24:08 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-17 17:24:08 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-17 17:24:08 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-17 17:24:08 | INFO     | log:150 | [list_documents] Found 1 documents
2025-12-17 17:30:16 | DEBUG    | log:152 | [index] Serving web UI
2025-12-17 17:30:17 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-17 17:30:17 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-17 17:30:17 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-17 17:30:17 | INFO     | log:150 | [list_documents] Found 1 documents
2025-12-17 17:36:47 | DEBUG    | log:152 | [index] Serving web UI
2025-12-17 17:36:48 | DEBUG    | log:152 | [list_documents] Fetching all documents...
2025-12-17 17:36:48 | DEBUG    | log:152 | [get_tables] Getting tables...
2025-12-17 17:36:48 | DEBUG    | log:152 | [get_tables] Returning cached tables
2025-12-17 17:36:48 | INFO     | log:150 | [list_documents] Found 1 documents
