2025-12-23 13:18:10 | DEBUG    | log:153 | [index] Serving web UI
2025-12-23 13:18:10 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-23 13:18:10 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-23 13:18:10 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-23 13:18:10 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-23 13:18:21 | DEBUG    | log:153 | [index] Serving web UI
2025-12-23 13:18:21 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-23 13:18:21 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-23 13:18:21 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-23 13:18:21 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-23 13:18:27 | DEBUG    | log:153 | [index] Serving web UI
2025-12-23 13:18:27 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-23 13:18:27 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-23 13:18:27 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-23 13:18:27 | INFO     | log:151 | [list_documents] Found 15 documents
