2025-12-25 14:05:46 | DEBUG    | log:153 | [index] Serving web UI
2025-12-25 14:05:47 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-25 14:05:47 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-25 14:05:47 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-25 14:05:47 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-25 14:05:48 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-25 14:05:48 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-25 14:05:48 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-25 14:05:48 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-25 14:15:06 | DEBUG    | log:153 | [index] Serving web UI
2025-12-25 14:15:07 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-25 14:15:07 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-25 14:15:07 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-25 14:15:07 | INFO     | log:151 | [list_documents] Found 15 documents
