2025-12-29 18:11:00 | INFO     | log:151 | [lifespan] Server shutting down
2025-12-29 18:11:15 | INFO     | log:151 | [config] Loaded config | DEBUG_MODE=3
2025-12-29 18:11:18 | INFO     | log:151 | [main] FastAPI app initialized (Per-Example Embedding Architecture)
2025-12-29 18:11:18 | INFO     | log:151 | [lifespan] Server starting - running warmup...
2025-12-29 18:11:18 | INFO     | log:151 | [warmup] Loading tables...
2025-12-29 18:11:18 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-29 18:11:24 | DEBUG    | log:153 | [get_tables] Loaded existing tables
2025-12-29 18:11:24 | INFO     | log:151 | [warmup] Tables loaded: 15 docs, 251 examples
2025-12-29 18:11:24 | INFO     | log:151 | [warmup] Loading embedding model...
2025-12-29 18:11:24 | INFO     | log:151 | [get_embedding_model] Loading model on GPU (NVIDIA RTX A5000)...
2025-12-29 18:11:30 | INFO     | log:151 | [get_embedding_model] Model loaded on GPU (NVIDIA RTX A5000)
2025-12-29 18:11:30 | INFO     | log:151 | [warmup] Embedding model loaded on GPU (NVIDIA RTX A5000)
2025-12-29 18:11:30 | INFO     | log:151 | [warmup] Building embeddings cache...
2025-12-29 18:11:30 | INFO     | log:151 | [build_embeddings_cache] Building embeddings cache...
2025-12-29 18:11:31 | INFO     | log:151 | [build_embeddings_cache] Cache built in 0.96s: 251 examples, 15 docs on GPU (NVIDIA RTX A5000)
2025-12-29 18:11:31 | INFO     | log:151 | [warmup] Embeddings cache built
2025-12-29 18:11:31 | INFO     | log:151 | [warmup] Building corpus stats cache...
2025-12-29 18:11:31 | INFO     | log:151 | [get_corpus_stats] Rebuilding corpus stats cache...
2025-12-29 18:11:31 | INFO     | log:151 | [warmup] Corpus stats cache built
2025-12-29 18:11:31 | INFO     | log:151 | [warmup] System ready in 12.24s | URLs: ['http://localhost:6804', 'http://192.168.3.7:6804']
2025-12-29 18:11:45 | INFO     | log:151 | [search_single] Searching: 'tra cứu phí giao dịch chuyển khoản đến số tài khoả...' (top_k=10)
2025-12-29 18:11:45 | DEBUG    | log:153 | [get_tables] Getting tables...
