2025-12-24 08:28:48 | DEBUG    | log:153 | [index] Serving web UI
2025-12-24 08:31:56 | DEBUG    | log:153 | [index] Serving web UI
2025-12-24 08:31:56 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-24 08:31:56 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-24 08:31:56 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-24 08:31:56 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-24 08:48:09 | DEBUG    | log:153 | [index] Serving web UI
2025-12-24 08:48:09 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-24 08:48:09 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-24 08:48:09 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-24 08:48:09 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-24 08:48:10 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-24 08:48:10 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-24 08:48:10 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-24 08:48:10 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-24 08:49:40 | INFO     | log:151 | [search_single] Searching: 'cho tôi xem lịch sử giao dịch của tài khoản 020063...' (top_k=10)
2025-12-24 08:49:40 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-24 08:49:40 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-24 08:49:40 | DEBUG    | log:153 | [normalize_query] 'cho tôi xem lịch sử giao dịch của tài kh...' -> 'Cho tôi xem lịch sử giao dịch của tài kh...'
2025-12-24 08:49:40 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [cho tôi xem lịch sử giao dịch của tài khoản 020063535533] - formatted_query: [Cho tôi xem lịch sử giao dịch của tài khoản 020063535533] - normalized_query: [Cho tôi xem lịch sử giao dịch của tài khoản 020063535533]
